n,factorization,num_factors,n_mod6,wing,num_left_factors
689880801,3*41*71*197*401,5,3,div3,4
697906561,11*97*131*4993,4,1,right,2
698548201,13*29*41*43*1051,5,1,right,2
702683101,421*701*2381,3,1,right,2
703995733,7*19*67*199*397,5,1,right,0
704934361,41*61*521*541,4,1,right,2
705101761,7*13*19*193*2113,5,1,right,0
707926801,17*29*337*4261,4,1,right,2
710382401,137*953*5441,3,5,left,3
710541481,13*61*331*2707,4,1,right,0
711374401,17*241*401*433,4,1,right,2
713588401,37*151*337*379,4,1,right,0
717164449,23*43*67*79*137,5,1,right,2
721244161,11*19*41*73*1153,5,1,right,2
722923201,7*11*13*401*1801,5,1,right,2
727083001,43*127*211*631,4,1,right,0
739444021,277*1381*1933,3,1,right,0
743404663,103*1123*6427,3,1,right,0
744866305,5*17*29*449*673,5,1,right,4
745864945,5*7*89*149*1607,5,1,right,4
746706961,7*11*13*277*2693,5,1,right,2
752102401,41*97*281*673,4,1,right,2
759472561,29*41*181*3529,4,1,right,2
765245881,19*29*31*71*631,5,1,right,2
771043201,401*1201*1601,3,1,right,2
775368901,373*1117*1861,3,1,right,0
775866001,41*233*241*337,4,1,right,2
776176261,7*61*853*2131,4,1,right,0
781347841,29*61*79*5591,4,1,right,2
784966297,137*409*14009,3,1,right,2
790020001,29*229*337*353,4,1,right,2
790623289,37*233*293*313,4,1,right,2
794937601,97*769*10657,3,1,right,0
798770161,7*73*1021*1531,4,1,right,0
804978721,157*313*16381,3,1,right,0
809702401,17*241*257*769,4,1,right,2
809883361,7*97*139*8581,4,1,right,0
814056001,11*31*251*9511,4,1,right,2
822531841,257*641*4993,3,1,right,2
824389441,61*3361*4021,3,1,right,0
824405041,19*31*109*12841,4,1,right,0
829678141,31*61*541*811,4,1,right,0
832060801,11*13*17*31*61*181,6,1,right,2
833608321,7*13*31*461*641,5,1,right,2
834244501,47*139*277*461,4,1,right,2
834720601,11*13*29*31*43*151,6,1,right,2
836515681,23*71*97*5281,4,1,right,2
839275921,11*29*37*211*337,5,1,right,2
841340521,7*37*571*5689,4,1,right,0
842202361,7*11*13*41*20521,5,1,right,2
843704401,31*67*401*1013,4,1,right,2
847491361,17*31*41*61*643,5,1,right,2
849064321,7*157*193*4003,4,1,right,0
851703301,179*1069*4451,3,1,right,2
851934601,7*61*73*151*181,5,1,right,0
852729121,31*37*163*4561,4,1,right,0
854197345,5*19*23*313*1249,5,1,right,2
855734401,193*401*11057,3,1,right,2
860056705,5*53*313*10369,4,1,right,2
863984881,307*613*4591,3,1,right,0
867800701,31*37*61*79*157,5,1,right,0
868234081,11*13*17*31*41*281,6,1,right,4
876850801,211*421*9871,3,1,right,0
882796321,11*43*71*97*271,5,1,right,2
885336481,37*73*433*757,4,1,right,0
888700681,11*71*229*4969,4,1,right,2
891706861,199*397*11287,3,1,right,0
897880321,13*19*1231*2953,4,1,right,0
902645857,47*3727*5153,3,1,right,2
914801665,5*29*97*193*337,5,1,right,2
918661501,151*751*8101,3,1,right,0
928482241,29*113*421*673,4,1,right,2
930745621,13*43*181*9199,4,1,right,0
931694401,11*17*73*131*521,5,1,right,4
934784929,13*23*73*113*379,5,1,right,2
935794081,73*937*13681,3,1,right,0
939947009,263*1049*3407,3,5,left,3
940123801,109*1801*4789,3,1,right,0
941056273,157*937*6397,3,1,right,0
945959365,5*13*19*43*47*379,6,1,right,2
947993761,11*13*37*139*1289,5,1,right,2
954732853,103*109*277*307,4,1,right,0
955134181,311*1303*2357,3,1,right,2
957044881,13*23*1193*2683,4,1,right,2
958735681,97*139*211*337,4,1,right,0
958762729,47*3359*6073,3,1,right,2
958970545,5*13*113*137*953,5,1,right,4
962442001,73*601*21937,3,1,right,0
962500561,11*239*269*1361,4,1,right,4
963163201,7*11*13*601*1601,5,1,right,2
963168193,13*97*757*1009,4,1,right,0
968553181,31*37*61*109*127,5,1,right,0
968915521,7*61*163*13921,4,1,right,0
975303121,13*31*41*67*881,5,1,right,2
977737321,11*19*37*59*2143,5,1,right,2
977892241,17*31*53*157*223,5,1,right,2
981567505,5*17*47*277*887,5,1,right,4
981789337,19*73*397*1783,4,1,right,0
985052881,83*2953*4019,3,1,right,2
986088961,11*13*17*19*37*577,6,1,right,2
990893569,17*257*337*673,4,1,right,2
993420289,37*127*163*1297,4,1,right,0
993905641,41*71*421*811,4,1,right,2
1001152801,11*41*61*151*241,5,1,right,2
1018928485,5*19*29*163*2269,5,1,right,2
1027334881,53*79*131*1873,4,1,right,2
1030401901,19*31*59*149*199,5,1,right,2
1031750401,11*31*61*193*257,5,1,right,2
1035608041,13*31*61*103*409,5,1,right,0
1038165961,7*41*53*131*521,5,1,right,4
1055384929,37*97*157*1873,4,1,right,0
1070659201,17*47*53*131*193,5,1,right,4
1072570801,43*71*113*3109,4,1,right,2
1074363265,5*19*37*53*73*79,6,1,right,2
1079556193,19*67*73*11617,4,1,right,0
1090842145,5*17*673*19069,4,1,right,2
1093916341,7*103*991*1531,4,1,right,0
1100674561,7*31*41*193*641,5,1,right,2
1103145121,13*37*73*89*353,5,1,right,2
1125038377,109*1657*6229,3,1,right,0
1131222841,7*41*67*89*661,5,1,right,2
1132988545,5*13*17*577*1777,5,1,right,2
1134044821,7*13*31*181*2221,5,1,right,0
1136739745,5*109*433*4817,4,1,right,2
1138049137,19*43*433*3217,4,1,right,0
1140441121,37*53*71*8191,4,1,right,2
1150270849,7*13*19*577*1153,5,1,right,0
1152793621,7*31*271*19603,4,1,right,0
1162202581,23*43*109*10781,4,1,right,2
1163659861,7*13*23*307*1811,5,1,right,2
1177195201,7*13*97*193*691,5,1,right,0
